model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
OPPO A17K,8499,61.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","3 GB RAM, 64 GB inbuilt","Helio G35, Octa Core, 2.3 GHz Processor","6.56 inches, 720 x 1612 px Display with Water Drop Notch",8 MP Rear & 5 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,3,64,Helio G35,8.0,2.3,Octa,6.56,720 x 1612,,8.0,5.0,720.0,1612.0,Yes,1,Android,12.0
itel MagicX Play 4G,1733,79.44584647739222,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","48 MB RAM, 128 MB inbuilt",No 3G,"1.8 inches, 128 x 160 px Display",0.3 MP Rear Camera,Mocor,Dual Sim,1,1,0,1,1,0,0,0,0,No 3G,,,,1.8,128 x 160,,3.0,,128.0,160.0,Yes,64,Mocor,14.0
Oppo A78,16490,76.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 700 5G, Octa Core, 2.2 GHz Processor","6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 700 5G,8.0,2.2,Octa,6.56,720 x 1612,90.0,50.0,8.0,720.0,1612.0,Yes,0,Android,12.0
OPPO A17,9999,71.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Helio G35, Octa Core, 2.3 GHz Processor","6.56 inches, 720 x 1612 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,4,64,Helio G35,8.0,2.3,Octa,6.56,720 x 1612,,50.0,5.0,720.0,1612.0,Yes,1,Android,12.0
Vivo Y22,8000,71.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Helio G70, Octa Core, 2 GHz Processor","6.55 inches, 720 x 1612 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,4,64,Helio G70,8.0,2.0,Octa,6.55,720 x 1612,,50.0,8.0,720.0,1612.0,Yes,1,Android,12.0
Xiaomi Redmi 11 Prime 5G,9999,73.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","4 GB RAM, 64 GB inbuilt","Dimensity 700 5G, Octa Core, 2.2 GHz Processor","6.58 inches, 1080 x 2408 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,1,4,64,Dimensity 700 5G,8.0,2.2,Octa,6.58,1080 x 2408,90.0,50.0,5.0,1080.0,2408.0,Yes,512,Android,12.0
Nokia 2660 Flip,4399,79.44584647739222,"Dual Sim, 3G, 4G",Unisoc T107,No Wifi,1450 mAh Battery,"2.8 inches, 240 x 320 px Display",0.3 MP Rear Camera,Dual Sim,1,1,0,0,0,0,0,0,0,No Wifi,,,,,,,,,,,Yes,0,MP,0.0
Xiaomi Redmi K50i 5G,22999,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity  8100, Octa Core, 2.85 GHz Processor","6.6 inches, 1080 x 2460 px, 144 Hz Display with Punch Hole",64 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Bluetooth,Dual Sim,1,1,1,1,1,0,1,6,128,Dimensity  8100,8.0,2.85,Octa,6.6,1080 x 2460,144.0,64.0,16.0,1080.0,2460.0,Yes,12,Bluetooth,14.0
Vivo X90 5G,54990,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 9200, Octa Core, 3.05 GHz Processor","6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 12 MP Triple Rear & 32 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,1,8,256,Dimensity 9200,8.0,3.05,Octa,6.78,1260 x 2800,120.0,50.0,32.0,1260.0,2800.0,No,0,Android,13.0
Xiaomi Redmi 12 4G,9499,74.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","4 GB RAM, 128 GB inbuilt","Helio G88, Octa Core, 2 GHz Processor","6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 8 MP Front Camera,Android v13,Dual Sim,1,1,0,1,1,0,1,4,128,Helio G88,8.0,2.0,Octa,6.79,1080 x 2460,90.0,50.0,8.0,1080.0,2460.0,Yes,1,Android,13.0
OPPO F23,21999,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Snapdragon  695, Octa Core, 2.2 GHz Processor","6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,0,8,256,Snapdragon  695,8.0,2.2,Octa,6.72,1080 x 2400,120.0,64.0,32.0,1080.0,2400.0,Yes,1,Android,13.0
Motorola Moto G32,8990,73.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Snapdragon 680, Octa Core, 2.4 GHz Processor","6.55 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Dual Sim,1,1,0,1,1,0,0,4,64,Snapdragon 680,8.0,2.4,Octa,6.55,1080 x 2400,90.0,50.0,16.0,1080.0,2400.0,Yes,1,Android,12.0
Poco M4 5G (6GB RAM + 128GB),10999,77.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 700 5G, Octa Core, 2.2 GHz Processor","6.58 inches, 1080 x 2400 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,1,6,128,Dimensity 700 5G,8.0,2.2,Octa,6.58,1080 x 2400,90.0,50.0,8.0,1080.0,2400.0,Yes,512,Android,12.0
